Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

21.693461|	11.795607|	0.000000|	2.738226|	0.000000|	16.844811|	7.137767|	0.000000|	1.612411|	0.000000|	
18.583929|	8.717218|	0.000000|	2.646768|	0.000000|	16.807887|	7.118913|	0.000000|	1.576259|	0.000000|	
22.389615|	12.513748|	0.000000|	2.777101|	0.000000|	16.801887|	7.113665|	0.000000|	1.629340|	0.000000|	
32.793126|	22.855623|	0.000000|	3.140368|	0.000000|	17.484571|	7.778695|	0.000000|	1.665475|	0.000000|	
32.534212|	22.643654|	0.000000|	3.011761|	0.000000|	17.479585|	7.775871|	0.000000|	1.661435|	0.000000|	
31.872379|	21.922439|	0.000000|	3.048648|	0.000000|	17.406874|	7.750666|	0.000000|	1.671494|	0.000000|	
31.860720|	21.907726|	0.000000|	3.063735|	0.000000|	17.480694|	7.775153|	0.000000|	1.633975|	0.000000|	
31.938074|	21.981790|	0.000000|	3.044415|	0.000000|	17.275300|	7.572427|	0.000000|	1.632766|	0.000000|	
31.867660|	21.916585|	0.000000|	3.054779|	0.000000|	16.809975|	7.105132|	0.000000|	1.638170|	0.000000|	
31.872222|	21.916689|	0.000000|	3.102688|	0.000000|	16.800010|	7.095345|	0.000000|	1.633767|	0.000000|	
32.385813|	22.474153|	0.000000|	3.106359|	0.000000|	16.826602|	7.120363|	0.000000|	1.692394|	0.000000|	
32.315626|	22.367935|	0.000000|	3.117089|	0.000000|	16.724086|	7.067757|	0.000000|	1.632431|	0.000000|	
31.897612|	21.945752|	0.000000|	3.161943|	0.000000|	16.825235|	7.115792|	0.000000|	1.647175|	0.000000|	
31.838347|	21.888991|	0.000000|	3.125193|	0.000000|	16.805709|	7.101830|	0.000000|	1.634430|	0.000000|	
31.838189|	21.887282|	0.000000|	3.058480|	0.000000|	16.801692|	7.099674|	0.000000|	1.615354|	0.000000|	
31.846358|	21.897685|	0.000000|	3.024512|	0.000000|	16.834696|	7.129550|	0.000000|	1.624276|	0.000000|	
31.693561|	21.795659|	0.000000|	3.138904|	0.000000|	16.814128|	7.108779|	0.000000|	1.622519|	0.000000|	
31.979692|	22.032023|	0.000000|	3.177691|	0.000000|	16.850054|	7.142233|	0.000000|	1.630646|	0.000000|	
32.089066|	22.130910|	0.000000|	3.133965|	0.000000|	16.812645|	7.107268|	0.000000|	1.639392|	0.000000|	
31.869407|	21.916072|	0.000000|	3.033358|	0.000000|	16.726523|	7.104914|	0.000000|	1.627037|	0.000000|	
31.912158|	21.953901|	0.000000|	3.175721|	0.000000|	16.815714|	7.075667|	0.000000|	1.648088|	0.000000|	
31.881509|	21.917752|	0.000000|	3.118751|	0.000000|	16.841887|	7.139357|	0.000000|	1.649216|	0.000000|	
31.767526|	21.862478|	0.000000|	2.984200|	0.000000|	16.818964|	7.116071|	0.000000|	1.637264|	0.000000|	
31.875682|	21.921719|	0.000000|	3.030540|	0.000000|	16.819068|	7.112857|	0.000000|	1.637282|	0.000000|	
31.873936|	21.914713|	0.000000|	3.042112|	0.000000|	16.803998|	7.097402|	0.000000|	1.610635|	0.000000|	
32.127934|	22.159520|	0.000000|	3.095995|	0.000000|	16.829337|	7.121931|	0.000000|	1.671074|	0.000000|	
31.858022|	21.896326|	0.000000|	3.005561|	0.000000|	16.806756|	7.102850|	0.000000|	1.624066|	0.000000|	
31.920113|	21.957368|	0.000000|	3.003055|	0.000000|	16.821848|	7.114022|	0.000000|	1.613340|	0.000000|	
31.690950|	21.777639|	0.000000|	2.934948|	0.000000|	16.720768|	7.060960|	0.000000|	1.625510|	0.000000|	
31.855202|	21.893834|	0.000000|	3.014810|	0.000000|	16.819687|	7.108967|	0.000000|	1.598998|	0.000000|	
31.905042|	21.937857|	0.000000|	3.018327|	0.000000|	16.806937|	7.105929|	0.000000|	1.607265|	0.000000|	
31.898563|	21.928480|	0.000000|	3.106741|	0.000000|	16.808904|	7.103789|	0.000000|	1.623308|	0.000000|	
31.875608|	21.909084|	0.000000|	3.014856|	0.000000|	16.812750|	7.109204|	0.000000|	1.566169|	0.000000|	
32.673070|	22.746596|	0.000000|	3.111037|	0.000000|	16.815152|	7.103632|	0.000000|	1.667482|	0.000000|	
31.832486|	21.869958|	0.000000|	3.050974|	0.000000|	16.813327|	7.102187|	0.000000|	1.650043|	0.000000|	
31.856307|	21.892621|	0.000000|	3.110164|	0.000000|	16.729111|	7.070519|	0.000000|	1.617669|	0.000000|	
31.835408|	21.871090|	0.000000|	2.970320|	0.000000|	16.810235|	7.104179|	0.000000|	1.646803|	0.000000|	
31.905943|	21.937809|	0.000000|	2.950993|	0.000000|	16.816910|	7.115893|	0.000000|	1.633079|	0.000000|	
31.858824|	21.886155|	0.000000|	3.015432|	0.000000|	16.809601|	7.106693|	0.000000|	1.637948|	0.000000|	
31.644559|	21.731983|	0.000000|	3.131291|	0.000000|	16.792597|	7.091949|	0.000000|	1.654559|	0.000000|	
32.375228|	22.410152|	0.000000|	3.055515|	0.000000|	16.822646|	7.113390|	0.000000|	1.673904|	0.000000|	
32.756143|	22.798864|	0.000000|	2.954053|	0.000000|	16.805029|	7.099757|	0.000000|	1.663745|	0.000000|	
31.872758|	21.915968|	0.000000|	3.019716|	0.000000|	16.737561|	7.113558|	0.000000|	1.623756|	0.000000|	
31.863167|	21.899631|	0.000000|	3.056866|	0.000000|	16.804580|	7.061907|	0.000000|	1.619532|	0.000000|	
31.859849|	21.894538|	0.000000|	2.948997|	0.000000|	16.811912|	7.104713|	0.000000|	1.600201|	0.000000|	
31.754323|	21.835731|	0.000000|	2.973803|	0.000000|	16.807261|	7.105058|	0.000000|	1.623187|	0.000000|	
21.116236|	13.947097|	0.000000|	1.905516|	0.000000|	12.052923|	5.053564|	0.000000|	1.244284|	0.000000|	
24.469903|	14.613036|	0.000000|	1.819851|	0.000000|	17.376855|	7.667656|	0.000000|	1.431144|	0.000000|	
18.414897|	8.561346|	0.000000|	1.758490|	0.000000|	16.742678|	7.036236|	0.000000|	1.494275|	0.000000|	
3.046729|	0.868712|	0.000000|	0.669076|	0.000000|	2.934237|	0.792752|	0.000000|	0.568919|	0.000000|	
2.896380|	0.784010|	0.000000|	0.782409|	0.000000|	2.832700|	0.759587|	0.000000|	0.576841|	0.000000|	
2.809286|	0.733155|	0.000000|	0.777056|	0.000000|	2.751541|	0.712919|	0.000000|	0.562420|	0.000000|	
2.743836|	0.743997|	0.000000|	0.769639|	0.000000|	2.684259|	0.720484|	0.000000|	0.569982|	0.000000|	
3.101922|	0.818753|	0.000000|	0.690932|	0.000000|	3.055128|	0.811981|	0.000000|	0.585555|	0.000000|	
2.667747|	0.698567|	0.000000|	0.727173|	0.000000|	2.604223|	0.668819|	0.000000|	0.559416|	0.000000|	
