Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
35.456141|	25.590095|	0.000000|	3.030210|	0.000000|	16.763506|	7.125839|	0.000000|	1.646819|	0.000000|	
21.070758|	11.200885|	0.000000|	2.629353|	0.000000|	16.838171|	7.154504|	0.000000|	1.585347|	0.000000|	
20.354775|	10.503328|	0.000000|	2.671083|	0.000000|	16.893904|	7.169109|	0.000000|	1.654751|	0.000000|	
27.483735|	17.611503|	0.000000|	2.796723|	0.000000|	16.814400|	7.133441|	0.000000|	1.643766|	0.000000|	
35.700717|	25.776632|	0.000000|	3.075509|	0.000000|	16.753474|	7.143219|	0.000000|	1.671716|	0.000000|	
35.718001|	25.793970|	0.000000|	3.126590|	0.000000|	16.821205|	7.095956|	0.000000|	1.638893|	0.000000|	
36.456218|	26.525586|	0.000000|	3.227551|	0.000000|	16.849784|	7.156467|	0.000000|	1.700418|	0.000000|	
36.362753|	26.433277|	0.000000|	3.149810|	0.000000|	16.829355|	7.135751|	0.000000|	1.654888|	0.000000|	
36.150454|	26.212982|	0.000000|	3.064229|	0.000000|	16.880531|	7.188049|	0.000000|	1.691872|	0.000000|	
35.619044|	25.729657|	0.000000|	3.160284|	0.000000|	16.845830|	7.155069|	0.000000|	1.677898|	0.000000|	
35.805960|	25.861115|	0.000000|	3.053293|	0.000000|	16.874684|	7.181551|	0.000000|	1.678350|	0.000000|	
35.827384|	25.888119|	0.000000|	3.048949|	0.000000|	16.867733|	7.173169|	0.000000|	1.643095|	0.000000|	
35.790501|	25.845506|	0.000000|	3.153486|	0.000000|	16.864096|	7.166626|	0.000000|	1.654898|	0.000000|	
36.152120|	26.206905|	0.000000|	3.090091|	0.000000|	16.790369|	7.177707|	0.000000|	1.680754|	0.000000|	
36.210238|	26.454216|	0.000000|	3.060965|	0.000000|	16.861960|	7.125887|	0.000000|	1.661279|	0.000000|	
36.378645|	26.309738|	0.000000|	2.989977|	0.000000|	16.844439|	7.149645|	0.000000|	1.667049|	0.000000|	
36.444806|	26.508211|	0.000000|	3.086092|	0.000000|	16.866833|	7.171166|	0.000000|	1.652855|	0.000000|	
36.385040|	26.450180|	0.000000|	3.035767|	0.000000|	16.846881|	7.150092|	0.000000|	1.608518|	0.000000|	
36.439277|	26.504836|	0.000000|	2.963669|	0.000000|	16.858395|	7.163462|	0.000000|	1.609923|	0.000000|	
36.393544|	26.461096|	0.000000|	2.948729|	0.000000|	16.853812|	7.160187|	0.000000|	1.597543|	0.000000|	
36.451782|	26.510654|	0.000000|	2.988805|	0.000000|	16.854097|	7.154993|	0.000000|	1.610275|	0.000000|	
35.923789|	26.020968|	0.000000|	3.090079|	0.000000|	16.783777|	7.129074|	0.000000|	1.671039|	0.000000|	
35.874915|	25.928213|	0.000000|	3.089194|	0.000000|	16.842357|	7.145442|	0.000000|	1.652860|	0.000000|	
35.904267|	25.965499|	0.000000|	3.073524|	0.000000|	16.847020|	7.149453|	0.000000|	1.615528|	0.000000|	
30.852451|	21.980355|	0.000000|	2.648477|	0.000000|	14.869263|	6.201014|	0.000000|	1.432557|	0.000000|	
2.717039|	0.783863|	0.000000|	0.625298|	0.000000|	2.598493|	0.697048|	0.000000|	0.572104|	0.000000|	
3.023823|	0.826756|	0.000000|	0.698284|	0.000000|	2.958295|	0.799357|	0.000000|	0.602469|	0.000000|	
2.855846|	0.769794|	0.000000|	0.641195|	0.000000|	2.795654|	0.743391|	0.000000|	0.568140|	0.000000|	
4.734571|	1.914453|	0.000000|	0.739689|	0.000000|	4.260314|	1.392785|	0.000000|	0.697001|	0.000000|	
2.932363|	0.835351|	0.000000|	0.584985|	0.000000|	2.737699|	0.760697|	0.000000|	0.584601|	0.000000|	
3.770167|	1.144546|	0.000000|	0.659124|	0.000000|	3.693169|	1.102016|	0.000000|	0.668404|	0.000000|	
2.908695|	0.747703|	0.000000|	0.586516|	0.000000|	2.879163|	0.751504|	0.000000|	0.570765|	0.000000|	
2.956194|	0.786833|	0.000000|	0.588927|	0.000000|	2.882624|	0.747193|	0.000000|	0.559789|	0.000000|	
2.915132|	0.765131|	0.000000|	0.604439|	0.000000|	2.872750|	0.755013|	0.000000|	0.572325|	0.000000|	
3.412060|	0.972236|	0.000000|	0.688875|	0.000000|	3.421109|	0.940363|	0.000000|	0.607562|	0.000000|	
3.183397|	0.829346|	0.000000|	0.658532|	0.000000|	3.059757|	0.817323|	0.000000|	0.601315|	0.000000|	
11.221777|	4.809811|	0.000000|	1.264205|	0.000000|	10.531195|	4.203770|	0.000000|	1.084769|	0.000000|	
3.322621|	0.916254|	0.000000|	0.738287|	0.000000|	3.348727|	0.895550|	0.000000|	0.610323|	0.000000|	
