Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

31.973198|	22.220396|	0.000000|	1.977858|	0.000000|	16.794608|	7.114209|	0.000000|	1.663342|	0.000000|	
31.473647|	21.662805|	0.000000|	1.986182|	0.000000|	16.714337|	7.087115|	0.000000|	1.596765|	0.000000|	
29.377060|	19.568251|	0.000000|	1.996125|	0.000000|	16.788766|	7.111150|	0.000000|	1.598038|	0.000000|	
25.703400|	16.890328|	0.000000|	1.813692|	0.000000|	14.959865|	6.256561|	0.000000|	1.438556|	0.000000|	
2.982996|	0.864320|	0.000000|	0.778794|	0.000000|	2.904167|	0.807783|	0.000000|	0.584302|	0.000000|	
2.569479|	0.699224|	0.000000|	0.756361|	0.000000|	2.535850|	0.684005|	0.000000|	0.555955|	0.000000|	
2.821653|	0.791903|	0.000000|	0.731569|	0.000000|	2.777062|	0.768316|	0.000000|	0.571179|	0.000000|	
19.423787|	9.817852|	0.000000|	1.865426|	0.000000|	16.506072|	6.989621|	0.000000|	1.448888|	0.000000|	
2.628215|	0.732030|	0.000000|	0.777397|	0.000000|	2.578966|	0.698770|	0.000000|	0.550793|	0.000000|	
3.091952|	0.876133|	0.000000|	0.771068|	0.000000|	3.045011|	0.849048|	0.000000|	0.588249|	0.000000|	
2.691789|	0.721092|	0.000000|	0.711583|	0.000000|	2.650324|	0.698647|	0.000000|	0.555600|	0.000000|	
2.760066|	0.775105|	0.000000|	0.730663|	0.000000|	2.779998|	0.771828|	0.000000|	0.571951|	0.000000|	
2.752749|	0.737735|	0.000000|	0.777608|	0.000000|	2.650941|	0.696879|	0.000000|	0.549572|	0.000000|	
3.661032|	1.054804|	0.000000|	0.817865|	0.000000|	3.622076|	1.040727|	0.000000|	0.644690|	0.000000|	
10.031472|	4.670484|	0.000000|	1.244651|	0.000000|	8.785683|	3.470351|	0.000000|	0.968036|	0.000000|	
2.516601|	0.698840|	0.000000|	0.780102|	0.000000|	2.469503|	0.669325|	0.000000|	0.573378|	0.000000|	
3.030628|	0.832388|	0.000000|	0.735615|	0.000000|	2.983234|	0.806290|	0.000000|	0.585052|	0.000000|	
2.731042|	0.737181|	0.000000|	0.732917|	0.000000|	2.696421|	0.723942|	0.000000|	0.575274|	0.000000|	
2.730159|	0.731863|	0.000000|	0.764809|	0.000000|	2.698355|	0.719457|	0.000000|	0.565845|	0.000000|	
2.794875|	0.777806|	0.000000|	0.766472|	0.000000|	2.763908|	0.767918|	0.000000|	0.596043|	0.000000|	
2.590859|	0.709518|	0.000000|	0.733105|	0.000000|	2.546731|	0.683876|	0.000000|	0.566927|	0.000000|	
2.987159|	0.851135|	0.000000|	0.746062|	0.000000|	3.070696|	0.870617|	0.000000|	0.575566|	0.000000|	
4.483383|	1.683571|	0.000000|	0.883575|	0.000000|	4.100924|	1.327599|	0.000000|	0.682488|	0.000000|	
2.706847|	0.722469|	0.000000|	0.763318|	0.000000|	2.680452|	0.715319|	0.000000|	0.558301|	0.000000|	
2.896342|	0.801315|	0.000000|	0.773620|	0.000000|	2.874203|	0.799330|	0.000000|	0.582040|	0.000000|	
