Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
26.096462|	16.147563|	0.000000|	3.297199|	0.000000|	16.772807|	7.089586|	0.000000|	1.533625|	0.000000|	
18.737167|	8.856857|	0.000000|	2.952010|	0.000000|	16.744874|	7.069317|	0.000000|	1.570010|	0.000000|	
18.927098|	9.047479|	0.000000|	3.073309|	0.000000|	16.754681|	7.081600|	0.000000|	1.485198|	0.000000|	
32.152110|	22.220906|	0.000000|	3.610394|	0.000000|	16.756651|	7.070905|	0.000000|	1.612361|	0.000000|	
32.323797|	22.339549|	0.000000|	3.666470|	0.000000|	16.762013|	7.067307|	0.000000|	1.673837|	0.000000|	
32.339106|	22.347033|	0.000000|	3.668647|	0.000000|	16.675416|	7.034423|	0.000000|	1.625013|	0.000000|	
32.304985|	22.307945|	0.000000|	3.666316|	0.000000|	16.744953|	7.051849|	0.000000|	1.634696|	0.000000|	
33.146361|	23.139954|	0.000000|	3.709610|	0.000000|	16.757710|	7.058837|	0.000000|	1.614864|	0.000000|	
32.169810|	22.222288|	0.000000|	3.666895|	0.000000|	16.736034|	7.036090|	0.000000|	1.613203|	0.000000|	
32.407212|	22.409775|	0.000000|	3.614729|	0.000000|	16.733151|	7.039137|	0.000000|	1.659998|	0.000000|	
32.457580|	22.457512|	0.000000|	3.623744|	0.000000|	16.669438|	7.020461|	0.000000|	1.652928|	0.000000|	
32.433310|	22.432082|	0.000000|	3.681704|	0.000000|	16.741299|	7.047512|	0.000000|	1.621829|	0.000000|	
32.222210|	22.262629|	0.000000|	3.665407|	0.000000|	16.762392|	7.067232|	0.000000|	1.641394|	0.000000|	
32.405489|	22.401523|	0.000000|	3.628500|	0.000000|	16.738064|	7.042690|	0.000000|	1.642212|	0.000000|	
32.604870|	22.591433|	0.000000|	3.710885|	0.000000|	16.764184|	7.065123|	0.000000|	1.642578|	0.000000|	
32.409325|	22.409247|	0.000000|	3.663553|	0.000000|	16.764004|	7.066195|	0.000000|	1.655818|	0.000000|	
32.350652|	22.348698|	0.000000|	3.644807|	0.000000|	16.666614|	7.015064|	0.000000|	1.600748|	0.000000|	
32.260666|	22.303484|	0.000000|	3.611120|	0.000000|	16.760640|	7.068713|	0.000000|	1.632872|	0.000000|	
32.377262|	22.370122|	0.000000|	3.668015|	0.000000|	16.738030|	7.041830|	0.000000|	1.628994|	0.000000|	
32.369492|	22.354596|	0.000000|	3.672392|	0.000000|	16.730858|	7.033383|	0.000000|	1.610775|	0.000000|	
32.433990|	22.413321|	0.000000|	3.670077|	0.000000|	16.755652|	7.052349|	0.000000|	1.626205|	0.000000|	
32.255760|	22.286309|	0.000000|	3.635019|	0.000000|	16.741558|	7.042318|	0.000000|	1.647522|	0.000000|	
32.640670|	22.611556|	0.000000|	3.715206|	0.000000|	16.678515|	7.024329|	0.000000|	1.661415|	0.000000|	
32.297985|	22.280360|	0.000000|	3.630024|	0.000000|	16.748002|	7.048258|	0.000000|	1.639284|	0.000000|	
32.369050|	22.345373|	0.000000|	3.651827|	0.000000|	16.733217|	7.032225|	0.000000|	1.629119|	0.000000|	
32.246164|	22.279214|	0.000000|	3.649065|	0.000000|	16.788861|	7.087777|	0.000000|	1.581891|	0.000000|	
32.416512|	22.389817|	0.000000|	3.653529|	0.000000|	16.736084|	7.030384|	0.000000|	1.615088|	0.000000|	
32.360428|	22.337461|	0.000000|	3.666757|	0.000000|	16.747688|	7.048007|	0.000000|	1.609787|	0.000000|	
32.300532|	22.275237|	0.000000|	3.647148|	0.000000|	16.649652|	6.996373|	0.000000|	1.592860|	0.000000|	
32.514621|	22.482067|	0.000000|	3.683622|	0.000000|	16.746285|	7.044334|	0.000000|	1.625448|	0.000000|	
32.160101|	22.184244|	0.000000|	3.619884|	0.000000|	16.770797|	7.068951|	0.000000|	1.626860|	0.000000|	
32.320602|	22.300333|	0.000000|	3.685202|	0.000000|	16.751122|	7.050252|	0.000000|	1.620531|	0.000000|	
32.364499|	22.338974|	0.000000|	3.649509|	0.000000|	16.772794|	7.071769|	0.000000|	1.600856|	0.000000|	
31.614143|	21.759105|	0.000000|	3.623755|	0.000000|	16.440797|	6.916325|	0.000000|	1.619034|	0.000000|	
3.088754|	0.869486|	0.000000|	0.723328|	0.000000|	2.950972|	0.775731|	0.000000|	0.571534|	0.000000|	
3.450021|	0.943518|	0.000000|	0.610042|	0.000000|	3.360548|	0.899612|	0.000000|	0.598857|	0.000000|	
3.390164|	0.898920|	0.000000|	0.601410|	0.000000|	3.319096|	0.870311|	0.000000|	0.605364|	0.000000|	
11.746016|	5.020724|	0.000000|	1.302634|	0.000000|	10.795324|	4.252244|	0.000000|	1.108939|	0.000000|	
3.413551|	0.910128|	0.000000|	0.746414|	0.000000|	3.349163|	0.884329|	0.000000|	0.574100|	0.000000|	
2.660112|	0.694771|	0.000000|	0.718884|	0.000000|	2.682396|	0.710893|	0.000000|	0.553974|	0.000000|	
3.623421|	0.978640|	0.000000|	0.603202|	0.000000|	3.505727|	0.944407|	0.000000|	0.613174|	0.000000|	
2.906790|	0.787110|	0.000000|	0.592028|	0.000000|	2.860080|	0.775546|	0.000000|	0.587156|	0.000000|	
3.413478|	0.909938|	0.000000|	0.600868|	0.000000|	3.367440|	0.906747|	0.000000|	0.602239|	0.000000|	
3.126439|	0.807293|	0.000000|	0.717736|	0.000000|	3.087408|	0.808355|	0.000000|	0.578342|	0.000000|	
3.097652|	0.861616|	0.000000|	0.651676|	0.000000|	3.056562|	0.891904|	0.000000|	0.584558|	0.000000|	
17.747781|	7.935883|	0.000000|	1.855082|	0.000000|	16.850059|	7.091347|	0.000000|	1.473519|	0.000000|	
