Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

34.116380|	23.775998|	0.000000|	5.513931|	0.000000|	16.855955|	7.171134|	0.000000|	1.718817|	0.000000|	
34.118631|	23.772167|	0.000000|	5.446649|	0.000000|	16.818891|	7.139515|	0.000000|	1.681448|	0.000000|	
34.115237|	23.762166|	0.000000|	5.503469|	0.000000|	16.850325|	7.163920|	0.000000|	1.690131|	0.000000|	
34.111487|	23.763333|	0.000000|	5.531463|	0.000000|	16.827982|	7.148543|	0.000000|	1.698675|	0.000000|	
34.006413|	23.670712|	0.000000|	5.271475|	0.000000|	16.836560|	7.160277|	0.000000|	1.673638|	0.000000|	
34.415674|	24.089586|	0.000000|	5.271644|	0.000000|	16.817282|	7.144303|	0.000000|	1.712997|	0.000000|	
34.775975|	24.482325|	0.000000|	5.401142|	0.000000|	16.803394|	7.132238|	0.000000|	1.714735|	0.000000|	
34.951514|	24.602661|	0.000000|	5.501797|	0.000000|	16.802861|	7.129762|	0.000000|	1.683664|	0.000000|	
34.966482|	24.618757|	0.000000|	5.479627|	0.000000|	16.810905|	7.130640|	0.000000|	1.700331|	0.000000|	
34.246115|	23.881549|	0.000000|	5.389459|	0.000000|	16.833643|	7.149586|	0.000000|	1.707691|	0.000000|	
34.133235|	23.771436|	0.000000|	5.520026|	0.000000|	16.835766|	7.153891|	0.000000|	1.708842|	0.000000|	
34.161596|	23.796603|	0.000000|	5.506618|	0.000000|	16.857942|	7.174385|	0.000000|	1.680851|	0.000000|	
34.202778|	23.834143|	0.000000|	5.502549|	0.000000|	16.822921|	7.134448|	0.000000|	1.724531|	0.000000|	
35.026298|	24.665076|	0.000000|	5.541082|	0.000000|	16.770063|	7.124298|	0.000000|	1.701347|	0.000000|	
34.150067|	23.805455|	0.000000|	5.345914|	0.000000|	16.858273|	7.166445|	0.000000|	1.724634|	0.000000|	
33.981486|	23.649719|	0.000000|	5.247951|	0.000000|	16.843656|	7.150245|	0.000000|	1.716396|	0.000000|	
34.145296|	23.776082|	0.000000|	5.528750|	0.000000|	16.841756|	7.161367|	0.000000|	1.682012|	0.000000|	
33.930140|	23.614189|	0.000000|	5.503532|	0.000000|	16.814140|	7.134947|	0.000000|	1.707603|	0.000000|	
34.081716|	23.714919|	0.000000|	5.476592|	0.000000|	16.811711|	7.138246|	0.000000|	1.707099|	0.000000|	
34.122994|	23.755172|	0.000000|	5.471544|	0.000000|	16.830303|	7.153825|	0.000000|	1.681362|	0.000000|	
34.354642|	23.977753|	0.000000|	5.506062|	0.000000|	16.832682|	7.144308|	0.000000|	1.715881|	0.000000|	
34.128374|	23.752565|	0.000000|	5.527251|	0.000000|	16.831554|	7.146459|	0.000000|	1.647826|	0.000000|	
34.091508|	23.713606|	0.000000|	5.444614|	0.000000|	16.831993|	7.141995|	0.000000|	1.698598|	0.000000|	
34.109788|	23.731549|	0.000000|	5.472810|	0.000000|	16.814577|	7.124667|	0.000000|	1.707264|	0.000000|	
34.133229|	23.750726|	0.000000|	5.525356|	0.000000|	16.821473|	7.133119|	0.000000|	1.698701|	0.000000|	
33.789476|	23.491227|	0.000000|	5.257582|	0.000000|	16.805455|	7.115353|	0.000000|	1.716879|	0.000000|	
34.081607|	23.707789|	0.000000|	5.413922|	0.000000|	16.827223|	7.135966|	0.000000|	1.715880|	0.000000|	
34.113575|	23.722268|	0.000000|	5.445157|	0.000000|	16.836972|	7.145981|	0.000000|	1.699766|	0.000000|	
34.372087|	23.986931|	0.000000|	5.472422|	0.000000|	16.756438|	7.106270|	0.000000|	1.710270|	0.000000|	
34.172769|	23.787315|	0.000000|	5.501649|	0.000000|	16.817121|	7.124490|	0.000000|	1.718286|	0.000000|	
34.122601|	23.733952|	0.000000|	5.501552|	0.000000|	16.798980|	7.108127|	0.000000|	1.681400|	0.000000|	
34.128867|	23.746514|	0.000000|	5.414911|	0.000000|	16.809945|	7.117259|	0.000000|	1.699529|	0.000000|	
34.147679|	23.758533|	0.000000|	5.418626|	0.000000|	16.801691|	7.109889|	0.000000|	1.697961|	0.000000|	
