Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
52.759980|	42.413674|	0.000000|	5.281248|	0.000000|	16.801691|	7.114381|	0.000000|	1.691500|	0.000000|	
49.275004|	38.963498|	0.000000|	5.213051|	0.000000|	16.804610|	7.119357|	0.000000|	1.689210|	0.000000|	
48.930977|	38.621350|	0.000000|	5.223753|	0.000000|	16.791893|	7.108521|	0.000000|	1.697575|	0.000000|	
50.498931|	40.179415|	0.000000|	5.291393|	0.000000|	16.808174|	7.118675|	0.000000|	1.677841|	0.000000|	
52.313019|	41.980047|	0.000000|	5.169910|	0.000000|	16.804877|	7.113725|	0.000000|	1.690938|	0.000000|	
54.593783|	44.259017|	0.000000|	5.188573|	0.000000|	16.799973|	7.107980|	0.000000|	1.726123|	0.000000|	
54.525084|	44.214535|	0.000000|	5.290498|	0.000000|	16.789420|	7.103379|	0.000000|	1.680326|	0.000000|	
55.117734|	44.694566|	0.000000|	5.343887|	0.000000|	16.803886|	7.106061|	0.000000|	1.681273|	0.000000|	
53.671326|	43.347718|	0.000000|	5.210777|	0.000000|	16.796593|	7.103552|	0.000000|	1.706787|	0.000000|	
52.756456|	42.384821|	0.000000|	5.210853|	0.000000|	16.795595|	7.100947|	0.000000|	1.697785|	0.000000|	
52.837402|	42.463531|	0.000000|	5.290812|	0.000000|	16.791864|	7.099766|	0.000000|	1.706835|	0.000000|	
52.801626|	42.432406|	0.000000|	5.237536|	0.000000|	16.803516|	7.110142|	0.000000|	1.689886|	0.000000|	
53.816952|	43.446050|	0.000000|	5.273239|	0.000000|	17.049203|	7.354921|	0.000000|	1.708177|	0.000000|	
54.029353|	43.650675|	0.000000|	5.290059|	0.000000|	17.472675|	7.777860|	0.000000|	1.680048|	0.000000|	
52.626930|	42.258721|	0.000000|	5.234977|	0.000000|	17.450967|	7.756693|	0.000000|	1.688883|	0.000000|	
52.419171|	42.055396|	0.000000|	5.092776|	0.000000|	17.352310|	7.703662|	0.000000|	1.683056|	0.000000|	
52.886771|	42.494576|	0.000000|	5.184299|	0.000000|	17.495438|	7.799434|	0.000000|	1.706690|	0.000000|	
52.873669|	42.481022|	0.000000|	5.291152|	0.000000|	17.462813|	7.767579|	0.000000|	1.706331|	0.000000|	
52.868826|	42.478542|	0.000000|	5.289239|	0.000000|	17.183981|	7.494681|	0.000000|	1.698370|	0.000000|	
52.694816|	42.566362|	0.000000|	5.237548|	0.000000|	16.805791|	7.117439|	0.000000|	1.655389|	0.000000|	
55.032102|	44.425639|	0.000000|	5.268382|	0.000000|	16.814043|	7.121204|	0.000000|	1.715844|	0.000000|	
52.939014|	42.546302|	0.000000|	5.290000|	0.000000|	16.802822|	7.106498|	0.000000|	1.705855|	0.000000|	
53.200286|	42.806660|	0.000000|	5.210847|	0.000000|	16.913277|	7.213356|	0.000000|	1.689441|	0.000000|	
54.741086|	44.346468|	0.000000|	5.264815|	0.000000|	17.478045|	7.778156|	0.000000|	1.697222|	0.000000|	
52.936414|	42.538937|	0.000000|	5.200644|	0.000000|	16.806814|	7.108598|	0.000000|	1.697525|	0.000000|	
52.886742|	42.487420|	0.000000|	5.291014|	0.000000|	16.798448|	7.103141|	0.000000|	1.697136|	0.000000|	
23.028680|	17.608420|	0.000000|	2.384125|	0.000000|	8.481359|	3.361953|	0.000000|	1.052018|	0.000000|	
11.394737|	6.673474|	0.000000|	0.973522|	0.000000|	7.459489|	2.844313|	0.000000|	0.898486|	0.000000|	
23.687775|	13.788417|	0.000000|	1.751877|	0.000000|	16.737616|	7.042101|	0.000000|	1.451979|	0.000000|	
18.989362|	9.096945|	0.000000|	1.778207|	0.000000|	16.717316|	7.024332|	0.000000|	1.469802|	0.000000|	
20.757073|	10.861472|	0.000000|	1.794704|	0.000000|	16.727102|	7.027808|	0.000000|	1.459824|	0.000000|	
17.491727|	7.647048|	0.000000|	1.721048|	0.000000|	16.730483|	7.036007|	0.000000|	1.464938|	0.000000|	
17.491562|	7.602704|	0.000000|	1.647675|	0.000000|	16.717722|	7.025858|	0.000000|	1.434697|	0.000000|	
10.174261|	4.180940|	0.000000|	1.113707|	0.000000|	9.591842|	3.837652|	0.000000|	0.975996|	0.000000|	
2.773991|	0.752539|	0.000000|	0.550997|	0.000000|	2.701025|	0.727277|	0.000000|	0.548638|	0.000000|	
