Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.831947|	22.444565|	0.000000|	5.198570|	0.000000|	16.685736|	6.999417|	0.000000|	1.675885|	0.000000|	
32.831313|	22.509408|	0.000000|	5.235851|	0.000000|	16.760720|	7.031089|	0.000000|	1.679486|	0.000000|	
32.826014|	22.443940|	0.000000|	5.248422|	0.000000|	16.772599|	7.041315|	0.000000|	1.686490|	0.000000|	
32.756841|	22.375470|	0.000000|	5.225532|	0.000000|	16.759611|	7.028200|	0.000000|	1.678452|	0.000000|	
32.824268|	22.450366|	0.000000|	5.261395|	0.000000|	16.771765|	7.040275|	0.000000|	1.701732|	0.000000|	
31.208531|	21.119937|	0.000000|	5.026708|	0.000000|	16.165187|	6.699157|	0.000000|	1.622269|	0.000000|	
2.539586|	0.713240|	0.000000|	0.773538|	0.000000|	2.648839|	0.693445|	0.000000|	0.547795|	0.000000|	
2.706107|	0.771754|	0.000000|	0.769775|	0.000000|	2.711208|	0.730821|	0.000000|	0.578298|	0.000000|	
4.406088|	1.773249|	0.000000|	0.797276|	0.000000|	4.040691|	1.286977|	0.000000|	0.653795|	0.000000|	
2.959265|	0.889838|	0.000000|	0.649107|	0.000000|	2.927371|	0.812409|	0.000000|	0.595817|	0.000000|	
