Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
48.691738|	37.136325|	0.000000|	9.897401|	0.000000|	16.819201|	7.094871|	0.000000|	1.705199|	0.000000|	
36.185150|	27.050341|	0.000000|	7.299707|	0.000000|	13.448264|	5.551873|	0.000000|	1.385386|	0.000000|	
6.011311|	2.172398|	0.000000|	0.963913|	0.000000|	8.316880|	4.549650|	0.000000|	0.775881|	0.000000|	
16.868526|	6.982165|	0.000000|	1.856539|	0.000000|	28.461303|	18.734281|	0.000000|	1.441907|	0.000000|	
12.542683|	5.113936|	0.000000|	1.629262|	0.000000|	16.096049|	8.794493|	0.000000|	1.200304|	0.000000|	
3.133407|	0.864251|	0.000000|	0.817687|	0.000000|	3.064398|	0.846444|	0.000000|	0.591940|	0.000000|	
2.852170|	0.807321|	0.000000|	0.776054|	0.000000|	2.749928|	0.750192|	0.000000|	0.564334|	0.000000|	
3.191352|	0.892353|	0.000000|	0.824621|	0.000000|	3.124000|	0.874697|	0.000000|	0.596320|	0.000000|	
2.739236|	0.726888|	0.000000|	0.795902|	0.000000|	2.679658|	0.711060|	0.000000|	0.564361|	0.000000|	
3.388759|	0.942639|	0.000000|	0.807589|	0.000000|	3.285964|	0.893869|	0.000000|	0.606107|	0.000000|	
