Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

53.413596|	41.405494|	0.000000|	10.158875|	0.000000|	29.845035|	20.084068|	0.000000|	1.704492|	0.000000|	
53.543856|	41.512214|	0.000000|	10.182517|	0.000000|	27.958251|	18.167089|	0.000000|	1.709555|	0.000000|	
42.194774|	31.079236|	0.000000|	8.849287|	0.000000|	33.371308|	24.247786|	0.000000|	1.598949|	0.000000|	
2.823786|	0.750428|	0.000000|	0.780401|	0.000000|	2.644111|	0.693074|	0.000000|	0.564057|	0.000000|	
2.576816|	0.681425|	0.000000|	0.777736|	0.000000|	2.530486|	0.669937|	0.000000|	0.549808|	0.000000|	
2.924324|	0.758361|	0.000000|	0.775405|	0.000000|	2.884760|	0.757827|	0.000000|	0.561751|	0.000000|	
3.356589|	0.933625|	0.000000|	0.785107|	0.000000|	3.325698|	0.886223|	0.000000|	0.582192|	0.000000|	
2.875745|	0.746937|	0.000000|	0.748463|	0.000000|	2.785881|	0.749904|	0.000000|	0.567284|	0.000000|	
2.845320|	0.755651|	0.000000|	0.669438|	0.000000|	2.768088|	0.712360|	0.000000|	0.567251|	0.000000|	
2.932771|	0.759652|	0.000000|	0.744966|	0.000000|	2.894040|	0.757214|	0.000000|	0.564792|	0.000000|	
