Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
45.228800|	35.240309|	0.000000|	2.245987|	0.000000|	46.713085|	36.320525|	0.000000|	4.593298|	0.000000|	
46.456909|	36.504132|	0.000000|	2.211961|	0.000000|	47.365449|	37.034851|	0.000000|	4.511114|	0.000000|	
46.352233|	36.342450|	0.000000|	2.263775|	0.000000|	47.548541|	37.153364|	0.000000|	4.454519|	0.000000|	
46.377244|	36.362922|	0.000000|	2.171686|	0.000000|	47.512318|	37.103164|	0.000000|	4.471071|	0.000000|	
46.315418|	36.295359|	0.000000|	2.242190|	0.000000|	47.513310|	37.097737|	0.000000|	4.488113|	0.000000|	
45.869463|	35.673586|	0.000000|	3.254249|	0.000000|	46.677562|	36.343240|	0.000000|	3.994647|	0.000000|	
46.295830|	36.144048|	0.000000|	3.275789|	0.000000|	47.269798|	37.012249|	0.000000|	3.773517|	0.000000|	
46.604334|	36.399070|	0.000000|	3.272511|	0.000000|	47.482070|	37.174460|	0.000000|	3.790225|	0.000000|	
46.605479|	36.389896|	0.000000|	3.290788|	0.000000|	47.426082|	37.104422|	0.000000|	3.743507|	0.000000|	
46.764189|	36.553734|	0.000000|	3.304237|	0.000000|	47.505279|	37.175119|	0.000000|	3.758244|	0.000000|	
46.710427|	36.494103|	0.000000|	3.288017|	0.000000|	47.501780|	37.172374|	0.000000|	3.762586|	0.000000|	
46.461564|	36.297639|	0.000000|	3.287178|	0.000000|	47.290234|	37.009108|	0.000000|	3.721007|	0.000000|	
46.840785|	36.622612|	0.000000|	3.269926|	0.000000|	47.512284|	37.178212|	0.000000|	3.772898|	0.000000|	
46.817695|	36.593394|	0.000000|	3.248589|	0.000000|	47.437257|	37.096294|	0.000000|	3.785756|	0.000000|	
46.728090|	36.508609|	0.000000|	3.254578|	0.000000|	47.465512|	37.130891|	0.000000|	3.751064|	0.000000|	
46.284294|	36.078688|	0.000000|	3.141715|	0.000000|	46.996069|	36.637934|	0.000000|	3.882812|	0.000000|	
46.573525|	36.403672|	0.000000|	3.224323|	0.000000|	47.231376|	36.943496|	0.000000|	3.751431|	0.000000|	
46.821866|	36.605042|	0.000000|	3.214652|	0.000000|	47.520002|	37.174720|	0.000000|	3.739089|	0.000000|	
46.969283|	36.742912|	0.000000|	3.288580|	0.000000|	47.471007|	37.126300|	0.000000|	3.782844|	0.000000|	
46.824558|	36.612050|	0.000000|	3.251820|	0.000000|	47.538633|	37.191031|	0.000000|	3.786397|	0.000000|	
46.675209|	36.459961|	0.000000|	3.208997|	0.000000|	47.316762|	37.024451|	0.000000|	3.770907|	0.000000|	
46.367932|	36.205263|	0.000000|	3.246147|	0.000000|	47.510169|	37.168931|	0.000000|	3.744922|	0.000000|	
46.721213|	36.503093|	0.000000|	3.287401|	0.000000|	47.526860|	37.182639|	0.000000|	3.749317|	0.000000|	
46.832904|	36.610551|	0.000000|	3.278555|	0.000000|	47.486725|	37.145197|	0.000000|	3.767285|	0.000000|	
46.976799|	36.754460|	0.000000|	3.230602|	0.000000|	47.531706|	37.182730|	0.000000|	3.784211|	0.000000|	
46.961766|	36.736489|	0.000000|	3.274834|	0.000000|	47.530139|	37.176930|	0.000000|	3.756703|	0.000000|	
46.659646|	36.494749|	0.000000|	3.237878|	0.000000|	47.317427|	37.018887|	0.000000|	3.748841|	0.000000|	
46.918123|	36.698404|	0.000000|	3.256230|	0.000000|	47.574377|	37.229240|	0.000000|	3.789047|	0.000000|	
46.259456|	35.994936|	0.000000|	3.561215|	0.000000|	46.743149|	36.405985|	0.000000|	3.760493|	0.000000|	
