Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
18.972426|	8.980014|	0.000000|	3.728190|	0.000000|	16.775780|	7.058639|	0.000000|	1.599088|	0.000000|	
18.879628|	8.899112|	0.000000|	3.810655|	0.000000|	16.752139|	7.035969|	0.000000|	1.526468|	0.000000|	
25.757093|	15.678695|	0.000000|	4.419690|	0.000000|	16.761530|	7.045321|	0.000000|	1.606311|	0.000000|	
32.458910|	22.276514|	0.000000|	4.922232|	0.000000|	16.753966|	7.039822|	0.000000|	1.637242|	0.000000|	
32.468675|	22.278488|	0.000000|	4.804755|	0.000000|	16.765185|	7.046654|	0.000000|	1.656057|	0.000000|	
32.473968|	22.284145|	0.000000|	4.904156|	0.000000|	16.756998|	7.040747|	0.000000|	1.672373|	0.000000|	
32.469770|	22.277842|	0.000000|	5.040584|	0.000000|	16.759867|	7.041909|	0.000000|	1.649058|	0.000000|	
32.540536|	22.339621|	0.000000|	5.105251|	0.000000|	16.850339|	7.081988|	0.000000|	1.700587|	0.000000|	
32.499920|	22.300359|	0.000000|	5.091831|	0.000000|	16.757237|	7.039022|	0.000000|	1.670422|	0.000000|	
32.540696|	22.336925|	0.000000|	5.018771|	0.000000|	16.782651|	7.061655|	0.000000|	1.672618|	0.000000|	
32.495732|	22.290334|	0.000000|	5.015556|	0.000000|	16.752670|	7.035146|	0.000000|	1.655343|	0.000000|	
32.499505|	22.295011|	0.000000|	5.017229|	0.000000|	16.757491|	7.036247|	0.000000|	1.674994|	0.000000|	
32.532100|	22.320218|	0.000000|	5.023128|	0.000000|	16.763554|	7.044348|	0.000000|	1.688377|	0.000000|	
32.502469|	22.294314|	0.000000|	4.950287|	0.000000|	16.779285|	7.060645|	0.000000|	1.664496|	0.000000|	
32.538108|	22.331718|	0.000000|	5.107682|	0.000000|	16.761341|	7.042226|	0.000000|	1.671548|	0.000000|	
32.508820|	22.301165|	0.000000|	4.942849|	0.000000|	16.759291|	7.038909|	0.000000|	1.711569|	0.000000|	
32.516473|	22.303719|	0.000000|	5.083209|	0.000000|	16.749434|	7.032018|	0.000000|	1.677974|	0.000000|	
32.522133|	22.315395|	0.000000|	5.064722|	0.000000|	16.768042|	7.048572|	0.000000|	1.679160|	0.000000|	
32.503949|	22.297745|	0.000000|	5.029426|	0.000000|	16.753433|	7.034881|	0.000000|	1.699627|	0.000000|	
32.516253|	22.307228|	0.000000|	5.025387|	0.000000|	16.769986|	7.050756|	0.000000|	1.666051|	0.000000|	
32.485147|	22.273054|	0.000000|	5.059605|	0.000000|	17.345052|	7.625927|	0.000000|	1.683391|	0.000000|	
32.484420|	22.268439|	0.000000|	5.018974|	0.000000|	17.403529|	7.681458|	0.000000|	1.695133|	0.000000|	
32.547032|	22.329183|	0.000000|	5.089070|	0.000000|	17.686018|	7.962534|	0.000000|	1.709442|	0.000000|	
32.499312|	22.281540|	0.000000|	4.996937|	0.000000|	16.847160|	7.127007|	0.000000|	1.638234|	0.000000|	
32.488512|	22.276043|	0.000000|	5.025670|	0.000000|	16.769797|	7.047497|	0.000000|	1.678338|	0.000000|	
32.454690|	22.241884|	0.000000|	5.003589|	0.000000|	16.753153|	7.033626|	0.000000|	1.671641|	0.000000|	
32.472153|	22.252477|	0.000000|	4.922761|	0.000000|	16.757317|	7.037618|	0.000000|	1.664860|	0.000000|	
32.486929|	22.266746|	0.000000|	5.103248|	0.000000|	17.081869|	7.358448|	0.000000|	1.640379|	0.000000|	
32.398080|	22.181934|	0.000000|	4.976650|	0.000000|	16.755832|	7.036146|	0.000000|	1.654472|	0.000000|	
32.502653|	22.284097|	0.000000|	4.807411|	0.000000|	16.778458|	7.059722|	0.000000|	1.689119|	0.000000|	
32.404517|	22.185331|	0.000000|	4.875541|	0.000000|	16.756708|	7.034610|	0.000000|	1.661522|	0.000000|	
32.421457|	22.201195|	0.000000|	4.861242|	0.000000|	16.752176|	7.033726|	0.000000|	1.691749|	0.000000|	
32.463403|	22.244564|	0.000000|	4.902682|	0.000000|	16.767967|	7.046518|	0.000000|	1.670489|	0.000000|	
32.404588|	22.185957|	0.000000|	4.785039|	0.000000|	16.756245|	7.035605|	0.000000|	1.687982|	0.000000|	
32.468272|	22.249695|	0.000000|	4.815417|	0.000000|	17.354564|	7.632540|	0.000000|	1.686345|	0.000000|	
32.433465|	22.212410|	0.000000|	4.810401|	0.000000|	16.752844|	7.034276|	0.000000|	1.686850|	0.000000|	
32.440329|	22.222968|	0.000000|	4.909468|	0.000000|	17.393992|	7.670228|	0.000000|	1.695806|	0.000000|	
32.457083|	22.233829|	0.000000|	4.851614|	0.000000|	16.775306|	7.088891|	0.000000|	1.648704|	0.000000|	
32.414326|	22.193311|	0.000000|	4.967223|	0.000000|	16.851642|	7.037396|	0.000000|	1.668952|	0.000000|	
32.422259|	22.210528|	0.000000|	4.896589|	0.000000|	16.763049|	7.045023|	0.000000|	1.663328|	0.000000|	
32.500096|	22.279357|	0.000000|	4.873244|	0.000000|	16.756360|	7.036950|	0.000000|	1.657127|	0.000000|	
32.425515|	22.207332|	0.000000|	4.971291|	0.000000|	16.754597|	7.035890|	0.000000|	1.661662|	0.000000|	
32.463547|	22.248646|	0.000000|	4.856857|	0.000000|	16.770171|	7.050977|	0.000000|	1.622855|	0.000000|	
32.417222|	22.199909|	0.000000|	4.964454|	0.000000|	16.761041|	7.040355|	0.000000|	1.684794|	0.000000|	
32.413901|	22.199373|	0.000000|	4.901521|	0.000000|	16.766626|	7.044296|	0.000000|	1.667465|	0.000000|	
32.398059|	22.182575|	0.000000|	4.923369|	0.000000|	16.760443|	7.039698|	0.000000|	1.662146|	0.000000|	
32.453937|	22.238974|	0.000000|	4.887690|	0.000000|	16.750800|	7.031334|	0.000000|	1.679644|	0.000000|	
32.515331|	22.293068|	0.000000|	4.839080|	0.000000|	16.767997|	7.047385|	0.000000|	1.677211|	0.000000|	
32.432804|	22.213669|	0.000000|	4.937572|	0.000000|	16.755508|	7.036585|	0.000000|	1.683075|	0.000000|	
32.517138|	22.294812|	0.000000|	4.835959|	0.000000|	16.790758|	7.068776|	0.000000|	1.688338|	0.000000|	
32.415093|	22.195571|	0.000000|	4.876969|	0.000000|	16.754649|	7.034571|	0.000000|	1.667522|	0.000000|	
32.238867|	22.066964|	0.000000|	4.950380|	0.000000|	16.757272|	7.034531|	0.000000|	1.678123|	0.000000|	
32.571256|	22.296278|	0.000000|	4.928616|	0.000000|	16.770285|	7.047261|	0.000000|	1.683094|	0.000000|	
32.273782|	22.100909|	0.000000|	5.069389|	0.000000|	16.764262|	7.039485|	0.000000|	1.689366|	0.000000|	
32.464118|	22.238410|	0.000000|	5.001782|	0.000000|	16.766940|	7.047363|	0.000000|	1.665055|	0.000000|	
32.397163|	22.175790|	0.000000|	5.048802|	0.000000|	16.754605|	7.035625|	0.000000|	1.658032|	0.000000|	
32.400713|	22.293134|	0.000000|	5.045196|	0.000000|	16.756863|	7.036739|	0.000000|	1.657488|	0.000000|	
32.610729|	22.226133|	0.000000|	4.945312|	0.000000|	16.771791|	7.047168|	0.000000|	1.659166|	0.000000|	
32.239199|	22.191940|	0.000000|	5.034394|	0.000000|	16.757766|	7.072697|	0.000000|	1.656856|	0.000000|	
32.381163|	22.054073|	0.000000|	4.803171|	0.000000|	16.771841|	7.007567|	0.000000|	1.662731|	0.000000|	
32.361083|	22.141539|	0.000000|	4.806338|	0.000000|	16.846103|	7.072752|	0.000000|	1.680621|	0.000000|	
32.380135|	22.272587|	0.000000|	4.782106|	0.000000|	16.754824|	7.033672|	0.000000|	1.688221|	0.000000|	
32.567420|	22.184033|	0.000000|	4.903582|	0.000000|	16.765610|	7.043186|	0.000000|	1.673750|	0.000000|	
32.232694|	22.059042|	0.000000|	4.923606|	0.000000|	16.772410|	7.053383|	0.000000|	1.689311|	0.000000|	
