Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
24.073183|	13.883522|	0.000000|	4.588699|	0.000000|	16.930521|	7.171676|	0.000000|	1.668043|	0.000000|	
19.705425|	9.588621|	0.000000|	4.201672|	0.000000|	16.776006|	7.094249|	0.000000|	1.641362|	0.000000|	
22.691059|	12.568980|	0.000000|	4.399972|	0.000000|	16.794060|	7.113377|	0.000000|	1.697283|	0.000000|	
34.256998|	23.869607|	0.000000|	5.474618|	0.000000|	16.821137|	7.118649|	0.000000|	1.707590|	0.000000|	
34.172111|	23.805103|	0.000000|	5.420294|	0.000000|	16.811737|	7.109669|	0.000000|	1.683279|	0.000000|	
34.212550|	23.896946|	0.000000|	5.316666|	0.000000|	16.824928|	7.122473|	0.000000|	1.715780|	0.000000|	
34.239230|	23.844471|	0.000000|	5.501221|	0.000000|	16.810484|	7.107287|	0.000000|	1.709122|	0.000000|	
34.283156|	23.885983|	0.000000|	5.415700|	0.000000|	16.813452|	7.112189|	0.000000|	1.699078|	0.000000|	
34.272933|	23.874802|	0.000000|	5.472576|	0.000000|	16.806593|	7.103976|	0.000000|	1.690003|	0.000000|	
34.278830|	23.878794|	0.000000|	5.501812|	0.000000|	16.801889|	7.102785|	0.000000|	1.707008|	0.000000|	
34.301511|	23.907652|	0.000000|	5.441362|	0.000000|	16.806348|	7.110058|	0.000000|	1.681935|	0.000000|	
34.285186|	23.893209|	0.000000|	5.502881|	0.000000|	16.719779|	7.069840|	0.000000|	1.690563|	0.000000|	
34.298293|	23.901628|	0.000000|	5.416203|	0.000000|	16.805231|	7.106444|	0.000000|	1.716046|	0.000000|	
34.993871|	24.604382|	0.000000|	5.511331|	0.000000|	16.804631|	7.107217|	0.000000|	1.715154|	0.000000|	
34.058672|	23.732981|	0.000000|	5.368954|	0.000000|	16.803893|	7.105588|	0.000000|	1.699486|	0.000000|	
34.141194|	23.783117|	0.000000|	5.255639|	0.000000|	16.815692|	7.116819|	0.000000|	1.707611|	0.000000|	
