Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
40.218368|	28.972694|	0.000000|	9.110758|	0.000000|	16.842158|	7.111331|	0.000000|	1.706453|	0.000000|	
39.604741|	28.359719|	0.000000|	9.087229|	0.000000|	16.818839|	7.096605|	0.000000|	1.688143|	0.000000|	
7.804222|	4.328992|	0.000000|	1.698840|	0.000000|	4.846999|	1.587738|	0.000000|	0.717617|	0.000000|	
3.191438|	0.889242|	0.000000|	0.795217|	0.000000|	3.032367|	0.784033|	0.000000|	0.583120|	0.000000|	
3.103841|	0.817958|	0.000000|	0.753744|	0.000000|	2.913253|	0.769795|	0.000000|	0.575865|	0.000000|	
3.079008|	0.812402|	0.000000|	0.658623|	0.000000|	2.970505|	0.756475|	0.000000|	0.559326|	0.000000|	
2.991483|	0.806637|	0.000000|	0.645968|	0.000000|	2.964933|	0.792263|	0.000000|	0.580541|	0.000000|	
2.832318|	0.770421|	0.000000|	0.705895|	0.000000|	2.768939|	0.716622|	0.000000|	0.558581|	0.000000|	
18.200331|	8.316261|	0.000000|	1.865090|	0.000000|	16.757926|	7.037536|	0.000000|	1.472761|	0.000000|	
17.571665|	7.639203|	0.000000|	1.829086|	0.000000|	16.741323|	7.021236|	0.000000|	1.455540|	0.000000|	
