Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
45.043185|	33.043120|	0.000000|	10.286308|	0.000000|	42.842722|	33.025888|	0.000000|	1.713751|	0.000000|	
31.104626|	19.363003|	0.000000|	9.830890|	0.000000|	27.732531|	17.976151|	0.000000|	1.713080|	0.000000|	
30.946536|	19.223736|	0.000000|	9.864969|	0.000000|	27.647346|	17.925107|	0.000000|	1.699579|	0.000000|	
7.283352|	2.796128|	0.000000|	2.535922|	0.000000|	12.312498|	8.393104|	0.000000|	0.854247|	0.000000|	
2.782774|	0.737618|	0.000000|	0.652780|	0.000000|	2.718864|	0.719657|	0.000000|	0.562173|	0.000000|	
4.214140|	1.136976|	0.000000|	0.697374|	0.000000|	4.174503|	1.163988|	0.000000|	0.672343|	0.000000|	
2.648840|	0.708530|	0.000000|	0.591352|	0.000000|	2.571839|	0.671629|	0.000000|	0.560459|	0.000000|	
2.588246|	0.666750|	0.000000|	0.767641|	0.000000|	2.562151|	0.677402|	0.000000|	0.556729|	0.000000|	
3.092505|	0.803368|	0.000000|	0.695411|	0.000000|	3.018241|	0.778640|	0.000000|	0.570858|	0.000000|	
3.830967|	1.061732|	0.000000|	0.756149|	0.000000|	3.730326|	1.018297|	0.000000|	0.607960|	0.000000|	
